gene_ID	LHX5_PTC_baseMean	LHX5_PTC_log2FoldChange	LHX5_PTC_lfcSE	LHX5_PTC_stat	LHX5_PTC_pvalue	LHX5_PTC_padj	LHX5_PTC_n_zeros
ENSG00000169084	341	-0.304	0.173	-1.76	0.0788	0.315	6
ENSG00000197976	729	-0.198	0.122	-1.63	0.103	0.352	6
ENSG00000182162	1.35	0.436	1.97	0.221	0.825		7
ENSG00000205755	0.393	0.44	3.56	0.124	0.902		9
ENSG00000182378	3370	-0.269	0.136	-1.99	0.0469	0.256	6
ENSG00000198695	5870	0.0292	0.201	0.145	0.885	0.95	0
ENSG00000198938	157000	-0.113	0.115	-0.989	0.323	0.596	0
ENSG00000228253	17200	-0.231	0.114	-2.03	0.0427	0.244	0
ENSG00000198804	346000	-0.18	0.0727	-2.47	0.0136	0.163	0
ENSG00000198763	84900	-0.111	0.0989	-1.12	0.264	0.539	0
ENSG00000290585	79.9	0.316	0.415	0.762	0.446	0.693	0
ENSG00000290588	147	0.444	0.296	1.5	0.134	0.398	0
ENSG00000148408	841	0.00975	0.12	0.0813	0.935	0.973	0
ENSG00000165724	868	-0.385	0.143	-2.69	0.00724	0.137	0
ENSG00000148399	855	-0.192	0.121	-1.59	0.112	0.365	0
ENSG00000165802	1530	-0.158	0.121	-1.31	0.19	0.463	0
ENSG00000188833	6.86	0.112	0.852	0.132	0.895		0
ENSG00000187609	98.7	-0.122	0.247	-0.495	0.62	0.812	0
ENSG00000188986	1700	-0.0719	0.126	-0.57	0.569	0.78	0
ENSG00000188163	0.783	0.00912	2.99	0.00305	0.998		9
ENSG00000198569	2.01	0.634	1.57	0.403	0.687		2
ENSG00000050030	96	0.457	0.358	1.28	0.201	0.476	0
ENSG00000212864	83.4	-0.284	0.302	-0.938	0.348	0.619	0
ENSG00000284976	36.1	-1.32	2.86	-0.461	0.645		8
ENSG00000188566	1020	-0.00126	0.139	-0.00908	0.993	0.997	0
ENSG00000187713	912	-0.254	0.115	-2.21	0.027	0.205	0
ENSG00000177239	1500	0.14	0.118	1.19	0.232	0.51	0
ENSG00000197355	175	0.061	0.363	0.168	0.867	0.941	0
ENSG00000231864	1.46	-0.461	2.42	-0.19	0.849		6
ENSG00000186193	1080	0.289	0.173	1.68	0.0939	0.339	0
ENSG00000214402	0.94	-4.56	2.45	-1.86	0.0632		8
ENSG00000184925	8.25	1.18	0.707	1.66	0.0961		2
ENSG00000127191	985	-0.0206	0.126	-0.163	0.87	0.943	0
ENSG00000177943	144	-0.0115	0.219	-0.0522	0.958	0.983	0
ENSG00000232434	28.7	0.358	0.386	0.927	0.354		0
ENSG00000196642	4010	-0.168	0.099	-1.69	0.0903	0.334	0
ENSG00000244187	552	-0.33	0.135	-2.44	0.0146	0.168	0
ENSG00000177984	1.29	-1.42	2.36	-0.602	0.547		5
ENSG00000165716	645	-0.168	0.145	-1.15	0.249	0.526	0
ENSG00000148400	3940	-0.112	0.143	-0.782	0.434	0.686	0
ENSG00000196366	9.34	1.39	0.686	2.02	0.0429		0
ENSG00000148396	5210	-0.00988	0.0717	-0.138	0.89	0.953	0
ENSG00000148384	555	0.046	0.143	0.322	0.747	0.885	0
ENSG00000187796	57.2	-1.74	0.493	-3.54	0.000405	0.0583	0
ENSG00000262075	2.23	0.648	1.62	0.401	0.688		5
ENSG00000260220	4	2.83	1.46	1.94	0.0521		3
ENSG00000165661	1830	-0.256	0.103	-2.49	0.0128	0.162	0
ENSG00000238227	928	0.109	0.121	0.9	0.368	0.635	0
ENSG00000107147	4.17	-0.817	1.1	-0.743	0.458		1
ENSG00000226706	0.869	-1.42	2.68	-0.53	0.596		7
ENSG00000122140	1740	-0.406	0.114	-3.55	0.000382	0.057	0
ENSG00000196363	2940	-0.0843	0.0975	-0.865	0.387	0.651	0
ENSG00000160293	1800	-0.336	0.145	-2.32	0.0201	0.188	0
ENSG00000123453	368	-0.283	0.22	-1.29	0.198	0.473	0
ENSG00000225756	24.6	-0.0158	0.432	-0.0365	0.971		0
ENSG00000123454	10.8	-0.752	0.631	-1.19	0.234		0
ENSG00000197859	43.1	0.259	0.494	0.523	0.601	0.801	0
ENSG00000148300	1270	-0.173	0.0991	-1.74	0.0818	0.32	0
ENSG00000198870	4.87	-1.24	1.07	-1.15	0.248		0
ENSG00000148248	5790	-0.0899	0.0825	-1.09	0.276	0.553	0
ENSG00000148362	195	-0.208	0.193	-1.08	0.281	0.558	0
ENSG00000175164	10	0.13	0.679	0.192	0.848		0
ENSG00000290769	4.5	-0.125	1.21	-0.104	0.918		2
ENSG00000288989	4.5	-0.571	1.39	-0.411	0.681		4
ENSG00000165702	6.54	0.0995	0.75	0.133	0.894		0
ENSG00000224992	1.63	0.856	1.6	0.536	0.592		5
ENSG00000165695	12.6	0.203	0.73	0.279	0.781		0
ENSG00000125485	1180	-0.195	0.0997	-1.95	0.0509	0.265	0
ENSG00000188523	11.3	0.894	0.705	1.27	0.204		0
ENSG00000107290	6120	0.128	0.103	1.24	0.213	0.488	0
ENSG00000196358	43.1	-0.24	0.327	-0.734	0.463	0.706	0
ENSG00000230289	1.06	-2.48	2.54	-0.977	0.328		9
ENSG00000160539	52.7	-0.371	0.36	-1.03	0.303	0.577	0
ENSG00000126882	164	0.045	0.244	0.184	0.854	0.935	0
ENSG00000126883	4440	0.0536	0.0966	0.555	0.579	0.786	0
ENSG00000050555	506	-0.213	0.158	-1.35	0.177	0.448	0
ENSG00000130720	85.1	-0.302	0.376	-0.804	0.422	0.676	0
ENSG00000130707	1740	-0.576	0.192	-2.99	0.00275	0.102	0
ENSG00000107130	1560	-0.0931	0.104	-0.897	0.37	0.636	0
ENSG00000289226	10.8	0.247	0.744	0.332	0.74		0
ENSG00000136878	478	0.181	0.124	1.46	0.145	0.412	0
ENSG00000167157	68.6	0.114	0.34	0.335	0.738	0.88	0
ENSG00000179058	0.339	0.971	4.17	0.233	0.816		10
ENSG00000148335	644	-0.0852	0.109	-0.78	0.436	0.687	0
