gene_ID	day_4_vs_day_2_baseMean	day_4_vs_day_2_log2FoldChange	day_4_vs_day_2_lfcSE	day_4_vs_day_2_stat	day_4_vs_day_2_pvalue	day_4_vs_day_2_padj	day_4_vs_day_2_n_zeros
ENSG00000067842	8.08	1.58	0.835	1.89	0.0591	0.22	0
ENSG00000183837	217	-0.456	0.2	-2.28	0.0224	0.114	0
ENSG00000147383	431	-0.42	0.178	-2.36	0.0181	0.0984	0
ENSG00000147400	709	0.0192	0.136	0.141	0.888	0.958	0
ENSG00000183305	1.76	-1.07	2.02	-0.531	0.596		2
ENSG00000160131	2790	-0.125	0.115	-1.09	0.276	0.554	0
ENSG00000029993	6270	-0.311	0.112	-2.76	0.00572	0.0425	0
ENSG00000102181	337	0.107	0.155	0.687	0.492	0.743	0
ENSG00000063601	830	-0.213	0.143	-1.48	0.138	0.373	0
ENSG00000013619	12	-0.289	0.691	-0.418	0.676	0.86	0
ENSG00000269556	315	0.00148	0.163	0.00911	0.993	0.997	0
ENSG00000241769	18.9	0.252	0.691	0.364	0.716	0.879	0
ENSG00000277215	15.4	0.573	0.658	0.871	0.384	0.659	0
ENSG00000182195	329	0.0393	0.161	0.244	0.807	0.925	0
ENSG00000134595	163	-0.222	0.209	-1.06	0.287	0.565	0
ENSG00000129682	519	-0.349	0.137	-2.55	0.0109	0.0678	0
ENSG00000283692	9.93	-0.0243	0.761	-0.032	0.974	0.991	0
ENSG00000291054	49	0.287	0.418	0.686	0.493	0.743	0
ENSG00000165359	299	-0.0409	0.168	-0.243	0.808	0.925	0
ENSG00000178947	880	-0.392	0.163	-2.4	0.0162	0.0911	0
ENSG00000173275	524	0.121	0.15	0.809	0.418	0.688	0
ENSG00000169551	1.89	-1.31	1.87	-0.699	0.485		1
ENSG00000203950	356	0.0693	0.165	0.421	0.674	0.859	0
ENSG00000184785	39.2	-0.116	0.405	-0.286	0.775	0.908	0
ENSG00000101928	258	0.0106	0.179	0.059	0.953	0.983	0
ENSG00000156504	802	0.0696	0.164	0.424	0.671	0.857	0
ENSG00000170965	2.1	-1.56	1.91	-0.816	0.415		2
ENSG00000156531	4250	0.00784	0.0986	0.0795	0.937	0.976	0
ENSG00000147257	5430	1.48	0.127	11.7	1.68e-31	6.66e-29	0
ENSG00000076770	313	0.245	0.201	1.22	0.221	0.489	0
ENSG00000134602	5020	-0.0036	0.11	-0.0328	0.974	0.991	0
ENSG00000213468	2940	0.248	0.117	2.11	0.0348	0.154	0
ENSG00000286060	2.37	1.15	1.77	0.649	0.516		1
ENSG00000287806	2.97	0.35	1.35	0.259	0.796		0
ENSG00000147256	3.7	-0.891	1.24	-0.716	0.474		0
ENSG00000102078	86.2	-0.179	0.265	-0.678	0.498	0.746	0
ENSG00000085185	754	0.843	0.139	6.08	1.18e-09	6.79e-08	0
ENSG00000188706	950	0.173	0.122	1.43	0.154	0.397	0
ENSG00000198354	15.9	0.376	0.604	0.623	0.533	0.772	0
ENSG00000009694	59.3	0.589	0.33	1.79	0.0742	0.255	0
ENSG00000101966	2130	-0.0305	0.107	-0.284	0.776	0.909	0
ENSG00000125676	3680	-0.151	0.102	-1.48	0.14	0.377	0
ENSG00000125675	42.4	-0.125	0.372	-0.335	0.738	0.89	0
ENSG00000171155	426	0.0741	0.149	0.498	0.619	0.826	0
ENSG00000158290	4480	0.0591	0.0998	0.592	0.554	0.785	0
ENSG00000005893	2040	0.0787	0.114	0.693	0.488	0.74	0
ENSG00000125355	15.6	0.894	0.606	1.47	0.141	0.378	0
ENSG00000258545	53.9	0.163	0.342	0.478	0.633	0.834	0
ENSG00000125352	114	-0.475	0.24	-1.98	0.0478	0.193	0
ENSG00000286366	4.53	-0.534	1.1	-0.483	0.629		0
ENSG00000125354	973	0.00177	0.123	0.0143	0.989	0.995	0
ENSG00000018610	355	-0.166	0.178	-0.935	0.35	0.627	0
ENSG00000077721	1430	-0.123	0.141	-0.873	0.383	0.658	0
ENSG00000005022	4090	-0.264	0.184	-1.44	0.151	0.393	0
ENSG00000224281	40.6	0.411	0.392	1.05	0.294	0.573	0
ENSG00000237903	1.05	2.13	2.44	0.875	0.381		2
ENSG00000077713	96.5	0.116	0.264	0.438	0.661	0.853	0
ENSG00000175556	3.22	2.17	1.5	1.45	0.148		1
ENSG00000235244	351	0.163	0.222	0.733	0.464	0.723	0
ENSG00000102024	7470	-0.464	0.105	-4.42	9.94e-06	0.000225	0
ENSG00000289287	15.4	-1.2	0.749	-1.6	0.11	0.325	0
ENSG00000288595	564	0.152	0.153	0.992	0.321	0.601	0
ENSG00000077279	230	-1	0.183	-5.47	4.58e-08	1.9e-06	0
ENSG00000133136	1.03	-1.46	2.58	-0.564	0.573		2
ENSG00000157600	537	0.33	0.135	2.44	0.0148	0.0851	0
ENSG00000289365	1.46	-0.642	1.99	-0.322	0.747		1
ENSG00000068366	1630	-0.0533	0.12	-0.444	0.657	0.85	0
ENSG00000237863	54.5	0.219	0.335	0.654	0.513	0.758	0
ENSG00000197565	1210	1.12	0.121	9.28	1.66e-20	3.08e-18	0
ENSG00000101844	78.1	1.07	0.278	3.84	0.000121	0.00197	0
ENSG00000080561	46.1	0.0938	0.359	0.261	0.794	0.918	0
ENSG00000198088	136	-0.258	0.232	-1.11	0.267	0.543	0
ENSG00000165376	3.33	-0.312	1.31	-0.239	0.811		0
ENSG00000133131	49.3	0.437	0.39	1.12	0.263	0.538	0
ENSG00000133138	389	-0.346	0.177	-1.95	0.0509	0.201	0
ENSG00000133135	16.2	-1.63	0.632	-2.59	0.00974	0.0624	0
ENSG00000157502	57.4	-0.213	0.323	-0.659	0.51	0.755	0
ENSG00000189108	3.05	-3.48	1.83	-1.9	0.0569		1
ENSG00000166707	53.2	0.674	0.392	1.72	0.0853	0.278	0
ENSG00000269226	54	-0.263	0.492	-0.534	0.593	0.81	0
ENSG00000101812	1.57	0.365	1.88	0.194	0.846		1
ENSG00000231728	37.9	0.201	0.472	0.427	0.67	0.857	0
ENSG00000172476	11.3	0.692	0.739	0.936	0.349	0.627	0
ENSG00000234405	40	0.0894	0.455	0.196	0.844	0.94	0
ENSG00000185222	1070	0.0479	0.119	0.402	0.688	0.866	0
ENSG00000182916	198	-0.0945	0.195	-0.485	0.628	0.832	0
ENSG00000133134	668	-0.432	0.417	-1.03	0.301	0.581	0
ENSG00000286846	12.7	-0.513	0.734	-0.698	0.485	0.737	0
ENSG00000286237	50.6	-0.378	0.458	-0.826	0.409	0.681	0
ENSG00000158301	778	-0.0279	0.149	-0.187	0.851	0.944	0
ENSG00000125962	583	-0.0326	0.134	-0.243	0.808	0.925	0
ENSG00000215029	3.15	0.483	1.32	0.365	0.715		0
ENSG00000269405	0.82	-0.706	2.71	-0.26	0.795		2
ENSG00000204071	17.6	-0.605	0.596	-1.02	0.31	0.589	0
ENSG00000184905	289	-0.455	0.199	-2.28	0.0223	0.114	0
ENSG00000184867	3250	-0.125	0.143	-0.875	0.381	0.657	0
ENSG00000102401	1490	-0.0551	0.148	-0.372	0.71	0.876	0
ENSG00000290908	4.65	1.84	1.54	1.19	0.233		2
ENSG00000010671	19.9	0.476	0.557	0.855	0.393	0.667	0
ENSG00000102384	844	-0.227	0.121	-1.88	0.0604	0.223	0
ENSG00000204086	20.4	-0.138	0.561	-0.245	0.806	0.925	0
ENSG00000147202	1900	0.379	0.109	3.46	0.000534	0.00666	0
ENSG00000286523	1.02	-1.51	2.4	-0.632	0.528		1
ENSG00000186310	748	-0.087	0.177	-0.49	0.624	0.829	0
ENSG00000289479	943	-0.774	0.204	-3.79	0.000152	0.00238	0
ENSG00000234161	3	-1.45	1.45	-0.999	0.318		1
ENSG00000184788	25.7	-0.683	0.475	-1.44	0.151	0.393	0
ENSG00000072133	839	-0.254	0.129	-1.97	0.049	0.196	0
ENSG00000196767	91.2	-4.13	0.436	-9.46	3.1e-21	6.16e-19	0
ENSG00000131171	1510	-0.102	0.121	-0.841	0.4	0.674	0
ENSG00000147255	567	-0.0756	0.17	-0.444	0.657	0.85	0
ENSG00000198157	878	-0.228	0.205	-1.11	0.268	0.543	0
ENSG00000165288	7990	0.0697	0.0959	0.726	0.468	0.725	0
ENSG00000122145	4.31	0.498	1.08	0.462	0.644		0
ENSG00000078596	104	-2.07	0.32	-6.47	1.01e-10	6.67e-09	0
ENSG00000102158	1460	-0.0386	0.137	-0.282	0.778	0.909	0
ENSG00000198934	244	-0.191	0.185	-1.03	0.301	0.581	0
ENSG00000102390	887	-0.159	0.129	-1.24	0.216	0.483	0
ENSG00000094841	601	0.0169	0.152	0.112	0.911	0.967	0
ENSG00000147100	933	-0.52	0.173	-3.02	0.00255	0.0229	0
ENSG00000225470	3590	-0.0279	0.185	-0.151	0.88	0.955	0
ENSG00000229807	25.4	-0.0607	0.485	-0.125	0.9	0.962	0
ENSG00000131264	30.7	0.594	0.456	1.3	0.192	0.451	0
ENSG00000231963	1.71	0.449	1.75	0.257	0.797		1
ENSG00000186288	6.57	-0.624	1.18	-0.53	0.596		1
ENSG00000269911	38.5	0.432	0.412	1.05	0.294	0.573	0
ENSG00000147099	1130	0.352	0.157	2.24	0.0249	0.123	0
ENSG00000198034	14600	0.0796	0.124	0.643	0.52	0.762	0
ENSG00000186871	1580	-0.298	0.118	-2.53	0.0115	0.0701	0
ENSG00000102309	654	-0.105	0.157	-0.672	0.501	0.749	0
ENSG00000204131	1740	0.133	0.109	1.22	0.224	0.492	0
ENSG00000281852	23.2	-0.505	0.592	-0.853	0.394	0.668	0
ENSG00000147133	3280	0.0952	0.103	0.926	0.354	0.632	0
ENSG00000147140	22300	-0.0236	0.114	-0.206	0.837	0.937	0
ENSG00000196338	1250	-0.208	0.125	-1.66	0.0965	0.301	0
ENSG00000184634	2680	-0.0645	0.118	-0.545	0.586	0.806	0
ENSG00000184481	2180	-1.19	0.143	-8.32	8.91e-17	1.25e-14	0
ENSG00000165349	1980	0.00997	0.117	0.0852	0.932	0.975	0
ENSG00000120509	414	-0.206	0.168	-1.23	0.22	0.487	0
ENSG00000089289	1590	0.0576	0.133	0.434	0.664	0.854	0
ENSG00000158813	351	-0.0114	0.17	-0.0667	0.947	0.98	0
ENSG00000181704	1490	-0.0342	0.114	-0.3	0.764	0.902	0
ENSG00000289038	3.36	-0.483	1.34	-0.359	0.719		0
ENSG00000089472	2340	0.332	0.137	2.43	0.0151	0.0865	0
ENSG00000198881	4.96	0.0249	1.01	0.0247	0.98		0
ENSG00000184675	1570	0.117	0.119	0.98	0.327	0.606	0
ENSG00000186767	1430	0.363	0.117	3.1	0.00195	0.0186	0
ENSG00000235437	1030	0.277	0.123	2.25	0.0244	0.121	0
ENSG00000198205	165	0.314	0.216	1.46	0.145	0.385	0
ENSG00000147059	72.9	0.114	0.29	0.394	0.694	0.869	0
ENSG00000186787	120	-0.0614	0.262	-0.234	0.815	0.928	0
ENSG00000102349	786	0.492	0.131	3.77	0.000164	0.00253	0
ENSG00000227486	367	0.56	0.208	2.69	0.00722	0.0504	0
ENSG00000083750	177	0.562	0.236	2.38	0.0172	0.0948	0
ENSG00000247746	568	0.161	0.142	1.13	0.257	0.532	0
ENSG00000182518	360	-0.286	0.204	-1.4	0.162	0.407	0
ENSG00000130119	4130	-0.251	0.105	-2.4	0.0163	0.0915	0
ENSG00000196632	4900	0.0219	0.118	0.185	0.853	0.945	0
ENSG00000184083	283	-0.286	0.181	-1.58	0.114	0.334	0
ENSG00000158423	36.3	0.0838	0.402	0.208	0.835	0.937	0
ENSG00000235262	2	-0.204	1.69	-0.121	0.904		0
ENSG00000126012	4110	-0.083	0.126	-0.659	0.51	0.755	0
ENSG00000232593	482	0.161	0.174	0.926	0.354	0.632	0
ENSG00000184205	504	0.393	0.145	2.72	0.00659	0.0471	0
ENSG00000287215	4.29	0.361	1.17	0.308	0.758		0
ENSG00000179222	2460	0.275	0.123	2.24	0.0252	0.124	0
ENSG00000189369	1470	-0.291	0.121	-2.42	0.0157	0.0891	0
ENSG00000223591	54.4	-0.249	1.84	-0.135	0.893	0.959	1
ENSG00000224109	40.8	-0.478	0.384	-1.24	0.214	0.479	0
ENSG00000226530	91.3	0.519	0.272	1.9	0.0568	0.215	0
ENSG00000230317	2.88	1.24	1.4	0.883	0.377		0
ENSG00000158352	257	0.308	0.219	1.41	0.158	0.404	0
ENSG00000274588	397	-0.726	0.17	-4.26	2e-05	0.000414	0
ENSG00000270012	95.2	0.143	0.341	0.418	0.676	0.86	0
ENSG00000286181	15.4	0.231	0.617	0.375	0.708	0.875	0
ENSG00000012211	220	0.166	0.187	0.891	0.373	0.65	0
ENSG00000269313	13.6	0.685	0.667	1.03	0.304	0.583	0
ENSG00000243279	141	-0.27	0.254	-1.06	0.289	0.567	0
ENSG00000068400	2290	0.0131	0.155	0.0845	0.933	0.976	0
ENSG00000102100	211	-0.302	0.191	-1.58	0.114	0.333	0
ENSG00000187682	2.18	-1.1	1.6	-0.689	0.491		1
ENSG00000094631	863	0.397	0.144	2.77	0.00566	0.0422	0
ENSG00000015285	10.1	0.243	0.726	0.334	0.738	0.891	0
ENSG00000102317	2080	-0.309	0.115	-2.69	0.00721	0.0504	0
ENSG00000147155	1010	-0.167	0.146	-1.14	0.252	0.527	0
ENSG00000102312	123	0.316	0.239	1.32	0.187	0.443	0
ENSG00000287757	2.8	-2.45	1.76	-1.39	0.166		1
ENSG00000197779	632	-0.278	0.133	-2.1	0.0359	0.158	0
ENSG00000267064	13.4	-0.208	0.675	-0.308	0.758	0.898	0
ENSG00000126756	831	-0.181	0.193	-0.94	0.347	0.625	0
ENSG00000078061	694	0.0506	0.139	0.365	0.715	0.879	0
ENSG00000289890	2.24	-0.223	1.51	-0.147	0.883		0
ENSG00000196741	26.1	0.315	0.483	0.652	0.514	0.758	0
ENSG00000147124	466	-0.275	0.154	-1.79	0.0734	0.253	0
ENSG00000102226	3230	0.097	0.152	0.639	0.523	0.764	0
ENSG00000147123	1680	0.0861	0.154	0.559	0.576	0.801	0
ENSG00000130988	7.9	-0.585	0.872	-0.671	0.502	0.75	0
ENSG00000102221	1490	-0.118	0.115	-1.03	0.304	0.583	0
ENSG00000204904	7.48	-0.0736	0.866	-0.085	0.932		0
ENSG00000065923	1500	0.176	0.109	1.61	0.107	0.322	0
ENSG00000251192	358	0.119	0.163	0.729	0.466	0.724	0
ENSG00000236751	3.72	-0.961	1.25	-0.769	0.442		0
ENSG00000270069	393	-0.0399	0.232	-0.172	0.864	0.949	0
ENSG00000231772	0.977	0.0479	2.48	0.0193	0.985		2
ENSG00000188937	3.33	0.107	1.44	0.0746	0.941		1
ENSG00000126950	178	-0.166	0.197	-0.842	0.4	0.673	0
ENSG00000223486	2.39	1.03	1.45	0.712	0.476		0
ENSG00000238123	0.696	-0.797	2.91	-0.274	0.784		2
ENSG00000156313	501	0.0268	0.143	0.187	0.852	0.944	0
ENSG00000165168	5.98	-1.19	1.03	-1.15	0.248		0
ENSG00000147036	17.8	-0.474	0.596	-0.796	0.426	0.694	0
ENSG00000130962	467	-0.467	0.146	-3.2	0.00138	0.0142	0
ENSG00000174016	5	1.27	1.08	1.18	0.239		0
ENSG00000165164	3.38	0.421	1.3	0.323	0.747		0
ENSG00000233928	9.68	0.438	0.758	0.578	0.563	0.793	0
ENSG00000287700	3.36	2.3	1.63	1.41	0.158		2
ENSG00000198947	1160	0.681	0.122	5.6	2.18e-08	9.92e-07	0
ENSG00000235512	1.13	-0.103	2.13	-0.0482	0.962		1
ENSG00000198814	281	-0.448	0.167	-2.68	0.0074	0.0513	0
ENSG00000169297	1.87	-1.21	1.91	-0.632	0.527		2
ENSG00000004848	5.79	-2.69	1.17	-2.29	0.0222		0
ENSG00000101868	3150	-0.263	0.109	-2.42	0.0157	0.0889	0
ENSG00000289472	25.3	0.363	0.597	0.609	0.543	0.779	0
ENSG00000174010	960	0.176	0.13	1.35	0.177	0.429	0
ENSG00000184831	442	-0.238	0.15	-1.59	0.112	0.33	0
ENSG00000123130	1080	-0.188	0.132	-1.42	0.155	0.399	0
ENSG00000123131	1730	-0.25	0.149	-1.67	0.0941	0.296	0
ENSG00000165186	386	-0.829	0.152	-5.47	4.56e-08	1.89e-06	0
ENSG00000102174	2.54	-0.158	1.51	-0.104	0.917		0
ENSG00000288832	1.77	0.627	1.77	0.355	0.723		1
ENSG00000149970	1120	-0.0729	0.147	-0.494	0.621	0.827	0
ENSG00000184368	72.7	0.924	0.299	3.09	0.00197	0.0188	0
ENSG00000147010	1180	-0.101	0.123	-0.824	0.41	0.682	0
ENSG00000180815	58.8	0.053	0.354	0.15	0.881	0.955	0
ENSG00000173698	451	-0.954	0.169	-5.64	1.66e-08	7.68e-07	0
ENSG00000044446	826	0.223	0.13	1.71	0.0864	0.28	0
ENSG00000237836	0.962	-0.755	2.5	-0.302	0.762		2
ENSG00000086717	4.82	0.287	1.15	0.25	0.802		0
ENSG00000008086	2100	-0.303	0.106	-2.86	0.00422	0.0336	0
ENSG00000102098	632	-0.0737	0.132	-0.56	0.575	0.801	0
ENSG00000225882	1.55	0.788	1.84	0.428	0.669		1
ENSG00000047634	44.2	0.212	0.367	0.577	0.564	0.793	0
ENSG00000235834	12.7	-0.56	0.802	-0.699	0.485	0.737	0
ENSG00000169891	207	0.282	0.201	1.4	0.16	0.406	0
ENSG00000238178	2.84	0.581	1.5	0.388	0.698		1
ENSG00000126010	282	0.0387	0.185	0.21	0.834	0.937	0
ENSG00000182287	9020	-0.349	0.125	-2.79	0.00534	0.0403	0
ENSG00000147003	81.1	0.243	0.287	0.846	0.398	0.671	0
ENSG00000130234	8.43	0.171	0.822	0.208	0.835	0.937	0
ENSG00000087842	127	0.571	0.234	2.44	0.0146	0.0845	0
ENSG00000046647	440	0.0165	0.182	0.0906	0.928	0.974	0
ENSG00000289449	9.56	-0.449	0.857	-0.524	0.6	0.814	0
ENSG00000123595	474	-0.149	0.151	-0.984	0.325	0.604	0
ENSG00000176896	105	0.221	0.242	0.913	0.361	0.639	0
ENSG00000196664	0.845	-1.21	2.73	-0.445	0.656		2
ENSG00000101911	1290	0.00614	0.121	0.0509	0.959	0.985	0
ENSG00000047648	10	0.104	0.8	0.13	0.897	0.96	0
ENSG00000101871	1490	0.253	0.121	2.1	0.0361	0.158	0
ENSG00000101850	496	-0.19	0.164	-1.16	0.245	0.518	0
ENSG00000101849	2850	0.533	0.124	4.29	1.76e-05	0.00037	0
ENSG00000101846	98.2	-0.496	0.293	-1.7	0.09	0.288	0
ENSG00000006756	111	-0.137	0.253	-0.544	0.587	0.807	0
ENSG00000169084	593	0.0849	0.131	0.646	0.518	0.761	0
ENSG00000197976	807	-0.225	0.15	-1.5	0.133	0.366	0
ENSG00000182162	3.54	0.987	1.31	0.754	0.451		1
ENSG00000205755	1.36	0.437	2.3	0.19	0.85		2
ENSG00000182378	2780	-0.111	0.103	-1.07	0.282	0.56	0
ENSG00000198695	1390	0.0194	0.394	0.0492	0.961	0.986	0
ENSG00000198938	47500	-0.347	0.14	-2.49	0.013	0.0765	0
ENSG00000228253	2010	-0.51	0.142	-3.59	0.000334	0.00459	0
ENSG00000198804	55100	-0.183	0.116	-1.58	0.113	0.332	0
ENSG00000198763	9810	-0.254	0.156	-1.62	0.104	0.316	0
ENSG00000290585	140	0.299	0.226	1.32	0.186	0.443	0
ENSG00000290588	69.3	-0.385	0.345	-1.11	0.266	0.541	0
ENSG00000148408	387	-0.0854	0.2	-0.428	0.669	0.856	0
ENSG00000165724	878	-0.313	0.136	-2.3	0.0213	0.111	0
ENSG00000148399	779	-0.226	0.144	-1.57	0.118	0.34	0
ENSG00000165802	1310	-0.00983	0.116	-0.0845	0.933	0.976	0
ENSG00000188833	4.11	-0.457	1.28	-0.358	0.72		0
ENSG00000187609	69.1	0.677	0.328	2.07	0.0387	0.166	0
ENSG00000188986	1420	-0.208	0.129	-1.61	0.108	0.323	0
ENSG00000188163	1.43	0.488	1.96	0.248	0.804		1
ENSG00000050030	74.1	0.173	0.288	0.6	0.548	0.783	0
ENSG00000212864	31.1	-0.558	0.434	-1.29	0.198	0.459	0
ENSG00000188566	499	-0.223	0.188	-1.19	0.236	0.507	0
ENSG00000187713	536	-0.152	0.143	-1.07	0.286	0.565	0
ENSG00000177239	930	0.407	0.12	3.4	0.000669	0.00797	0
ENSG00000197355	154	-0.323	0.314	-1.03	0.303	0.583	0
ENSG00000186193	475	-0.0939	0.158	-0.595	0.552	0.784	0
ENSG00000214402	1.27	1.78	2.37	0.75	0.453		2
ENSG00000184925	14.6	-0.0208	0.728	-0.0286	0.977	0.992	0
ENSG00000127191	1110	-0.0708	0.119	-0.594	0.553	0.785	0
ENSG00000177943	83.8	0.294	0.324	0.909	0.363	0.64	0
ENSG00000232434	25.9	-0.358	0.471	-0.76	0.447	0.71	0
ENSG00000196642	4270	-0.105	0.121	-0.867	0.386	0.661	0
ENSG00000244187	669	-0.172	0.164	-1.05	0.295	0.575	0
ENSG00000177984	4.48	-0.638	1.17	-0.548	0.584		0
ENSG00000165716	713	-0.00381	0.125	-0.0304	0.976	0.992	0
ENSG00000148400	3650	0.23	0.119	1.93	0.0539	0.208	0
ENSG00000196366	19.6	-0.0268	0.534	-0.0501	0.96	0.985	0
ENSG00000148396	2260	-0.0141	0.103	-0.137	0.891	0.958	0
ENSG00000148384	381	0.393	0.175	2.25	0.0247	0.122	0
ENSG00000187796	14.2	-0.326	0.659	-0.494	0.621	0.828	0
ENSG00000262075	2.37	0.835	1.49	0.561	0.575		0
ENSG00000260220	1.5	-0.451	1.88	-0.24	0.81		0
ENSG00000165661	1030	-0.000308	0.127	-0.00243	0.998	0.999	0
ENSG00000238227	623	0.246	0.165	1.49	0.137	0.372	0
ENSG00000107147	3.98	0.0496	1.14	0.0435	0.965		0
ENSG00000122140	1450	-0.239	0.144	-1.66	0.0959	0.3	0
ENSG00000196363	1450	-0.104	0.128	-0.818	0.413	0.684	0
ENSG00000160293	2100	-0.118	0.111	-1.06	0.291	0.569	0
ENSG00000123453	183	0.305	0.199	1.54	0.125	0.351	0
ENSG00000225756	14.4	0.858	0.643	1.33	0.182	0.436	0
ENSG00000197859	13.1	0.811	0.648	1.25	0.211	0.476	0
ENSG00000148300	1420	-0.145	0.128	-1.14	0.254	0.529	0
ENSG00000198870	2.37	0.434	1.83	0.237	0.813		1
ENSG00000148248	3770	-0.089	0.108	-0.828	0.408	0.68	0
ENSG00000148362	128	-0.207	0.236	-0.878	0.38	0.656	0
ENSG00000175164	3.98	2.03	1.28	1.59	0.111		0
ENSG00000290769	3.4	1.47	1.4	1.05	0.292		1
ENSG00000288989	6.95	0.458	0.874	0.524	0.6		0
ENSG00000165702	3.49	-0.957	1.34	-0.715	0.475		0
ENSG00000165695	4.79	0.0291	1.04	0.0281	0.978		0
ENSG00000125485	731	0.000744	0.134	0.00557	0.996	0.998	0
ENSG00000188523	11.7	0.862	0.759	1.14	0.256	0.531	0
ENSG00000107290	5590	-0.219	0.107	-2.05	0.0401	0.17	0
ENSG00000196358	18.4	0.136	0.595	0.228	0.819	0.93	0
ENSG00000230289	1.57	0.751	1.97	0.382	0.702		1
ENSG00000160539	58.5	0.225	0.347	0.648	0.517	0.76	0
ENSG00000126882	188	0.0355	0.193	0.184	0.854	0.945	0
ENSG00000126883	3690	-0.209	0.1	-2.1	0.0362	0.158	0
ENSG00000050555	182	-0.871	0.216	-4.03	5.47e-05	0.000994	0
ENSG00000130720	42.8	1.21	0.441	2.75	0.006	0.044	0
ENSG00000130707	1070	0.179	0.151	1.19	0.234	0.504	0
ENSG00000107130	782	-0.21	0.133	-1.58	0.113	0.332	0
ENSG00000289226	18	0.858	0.57	1.5	0.132	0.364	0
ENSG00000136878	334	0.104	0.172	0.606	0.545	0.78	0
ENSG00000167157	89.6	-0.5	0.288	-1.73	0.0828	0.273	0
ENSG00000179058	0.84	-0.738	2.72	-0.272	0.786		2
ENSG00000148335	688	-0.155	0.171	-0.907	0.364	0.641	0
ENSG00000261334	1.35	0.705	1.92	0.367	0.714		0
ENSG00000204054	57.8	0.769	0.35	2.2	0.0281	0.134	0
ENSG00000226355	0.649	-1.54	2.91	-0.529	0.597		2
ENSG00000233901	23.1	0.134	0.514	0.261	0.794	0.918	0
ENSG00000179082	5.77	1.42	1.01	1.4	0.162		0
ENSG00000119383	2960	-0.00825	0.128	-0.0644	0.949	0.981	0
ENSG00000167130	603	-0.0936	0.174	-0.539	0.59	0.809	0
ENSG00000148343	604	-0.137	0.184	-0.744	0.457	0.718	0
ENSG00000136802	2970	-0.234	0.103	-2.27	0.0233	0.118	0
ENSG00000167136	57	-0.352	0.341	-1.03	0.303	0.582	0
ENSG00000107021	586	-0.282	0.143	-1.97	0.0489	0.196	0
