release	gene	condition	day	nGenes	nDE_05	nDE_01	key	ko_strategy	expression_alteration.label	model_system	model_organ	label	description	max_nDE_01
2024_05_JAX_RNAseq2_ExtraEmbryonic	MEIS2	""	day_6	23897	288	75	MEIS2_day_6	PTC	JAX_MEIS2_Termination_codon	ExM	Fibroblast of villous mesenchyme (CL:0002558)	ExM-MOK20025P-B09;ExM-MOK20025P-E11;ExM-MOK20025P-G09	KOLF2.2 deleted MEIS2 by insertion of premature termination codon (PTC) derived extra-embryonic mesenchyme	75
2024_05_JAX_RNAseq2_ExtraEmbryonic	BHLHE40	""	day_6	23756	1461	484	BHLHE40_day_6	PTC	JAX_BHLHE40_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20045P-B12;PrS-MOK20045P-C11;PrS-MOK20045P-D09	KOLF2.2 deleted BHLHE40 by insertion of premature termination codon (PTC) derived primitive syncytium	484
2024_05_JAX_RNAseq2_ExtraEmbryonic	MXD1	""	day_6	23756	319	58	MXD1_day_6	PTC	JAX_MXD1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20016P-B10;PrS-MOK20016P-C11;PrS-MOK20016P-G10	KOLF2.2 deleted MXD1 by insertion of premature termination codon (PTC) derived primitive syncytium	58
2024_05_JAX_RNAseq2_ExtraEmbryonic	NCOA3	""	day_6	23756	3	0	NCOA3_day_6	PTC	JAX_NCOA3_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20044P-A10;PrS-MOK20044P-A11;PrS-MOK20044P-F10	KOLF2.2 deleted NCOA3 by insertion of premature termination codon (PTC) derived primitive syncytium	0
2024_05_JAX_RNAseq2_ExtraEmbryonic	RUNX1	""	day_6	23756	4631	1374	RUNX1_day_6	PTC	JAX_RUNX1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20011P-C12;PrS-MOK20011P-D09;PrS-MOK20011P-F09	KOLF2.2 deleted RUNX1 by insertion of premature termination codon (PTC) derived primitive syncytium	1374
2024_06_JAX_RNAseq_Neuroectoderm	FEZF2	""	day_6	23818	1	1	FEZF2_day_6	PTC	JAX_FEZF2_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20007P-A09-Day6;CBO-MOK20007P-B11-Day6;CBO-MOK20007P-D09-Day6	KOLF2.2 deleted FEZF2 by insertion of premature termination codon (PTC) derived cortical brain organoid	59
2024_06_JAX_RNAseq_Neuroectoderm	LHX5	""	day_6	23818	0	0	LHX5_day_6	PTC	JAX_LHX5_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20004P-A07-Day5;CBO-MOK20004P-A10-Day6;CBO-MOK20004P-A11-Day5;CBO-MOK20004P-A11-Day6;CBO-MOK20004P-B10-Day6;CBO-MOK20004P-B10-Day5	KOLF2.2 deleted LHX5 by insertion of premature termination codon (PTC) derived cortical brain organoid, originally day 5 but the analysis shows this to be biologically closer to day 6, hence the timepoint is revised to 6;KOLF2.2 deleted LHX5 by insertion of premature termination codon (PTC) derived cortical brain organoid	12
2024_06_JAX_RNAseq_Neuroectoderm	RFX4	""	day_6	23818	2	2	RFX4_day_6	PTC	JAX_RFX4_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20002P-A09-Day6;CBO-MOK20002P-B12-Day6;CBO-MOK20002P-F11-Day6	KOLF2.2 deleted RFX4 by insertion of premature termination codon (PTC) derived cortical brain organoid	27
2024_06_JAX_RNAseq_Neuroectoderm	FEZF2	""	day_7	23665	0	0	FEZF2_day_7	PTC	JAX_FEZF2_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20007P-A09-Day7;CBO-MOK20007P-B11-Day7;CBO-MOK20007P-D09-Day7	KOLF2.2 deleted FEZF2 by insertion of premature termination codon (PTC) derived cortical brain organoid	59
2024_06_JAX_RNAseq_Neuroectoderm	OTX1	""	day_7	23665	4	4	OTX1_day_7	PTC	JAX_OTX1_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20003P-A10-Day7;CBO-MOK20003P-A11-Day7;CBO-MOK20003P-B10-Day7	KOLF2.2 deleted OTX1 by insertion of premature termination codon (PTC) derived cortical brain organoid	26
2024_06_JAX_RNAseq_Neuroectoderm	PAX6	""	day_7	23665	0	0	PAX6_day_7	PTC	JAX_PAX6_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20008P-A09;CBO-MOK20008P-A11;CBO-MOK20008P-D09	KOLF2.2 deleted PAX6 by insertion of premature termination codon (PTC) derived cortical brain organoid	734
2024_06_JAX_RNAseq_Neuroectoderm	RFX4	""	day_7	23665	0	0	RFX4_day_7	PTC	JAX_RFX4_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20002P-A09-Day7;CBO-MOK20002P-B12-Day7;CBO-MOK20002P-F11-Day7	KOLF2.2 deleted RFX4 by insertion of premature termination codon (PTC) derived cortical brain organoid	27
2024_06_JAX_RNAseq_Neuroectoderm	FEZF2	""	day_8	23000	0	0	FEZF2_day_8	PTC	JAX_FEZF2_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20007P-A09-Day8;CBO-MOK20007P-B11-Day8;CBO-MOK20007P-D09-Day8	KOLF2.2 deleted FEZF2 by insertion of premature termination codon (PTC) derived cortical brain organoid	59
2024_06_JAX_RNAseq_Neuroectoderm	OTX1	""	day_8	23000	8	3	OTX1_day_8	PTC	JAX_OTX1_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20003P-A09-Day8;CBO-MOK20003P-A10-Day8;CBO-MOK20003P-A11-Day8	KOLF2.2 deleted OTX1 by insertion of premature termination codon (PTC) derived cortical brain organoid	26
2024_06_JAX_RNAseq_Neuroectoderm	OTX1	""	day_9	22923	46	26	OTX1_day_9	PTC	JAX_OTX1_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20003P-A09-Day9;CBO-MOK20003P-A10-Day9;CBO-MOK20003P-A11-Day9	KOLF2.2 deleted OTX1 by insertion of premature termination codon (PTC) derived cortical brain organoid	26
2024_06_JAX_RNAseq_Neuroectoderm	RFX4	""	day_9	22923	33	27	RFX4_day_9	PTC	JAX_RFX4_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20002P-A09-Day9;CBO-MOK20002P-B12-Day9;CBO-MOK20002P-E09-Day9	KOLF2.2 deleted RFX4 by insertion of premature termination codon (PTC) derived cortical brain organoid	27
2024_06_JAX_RNAseq4_ExEm_brain	DMRTA1	""	day_9	21336	1156	243	DMRTA1_day_9	PTC	JAX_DMRTA1_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20001P-B11;CBO-MOK20001P-C11;CBO-MOK20001P-F09	KOLF2.2 deleted DMRTA1 by insertion of premature termination codon (PTC) derived cortical brain organoid	243
2024_06_JAX_RNAseq4_ExEm_brain	LMO2	""	day_6	23762	250	51	LMO2_day_6	PTC	JAX_LMO2_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20041P-A06;PrS-MOK20041P-F07;PrS-MOK20041P-F08	KOLF2.2 deleted LMO2 by insertion of premature termination codon (PTC) derived primitive syncytium	51
2024_06_JAX_RNAseq4_ExEm_brain	OVOL1	""	day_6	20005	8587	3946	OVOL1_day_6	PTC	JAX_OVOL1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20020P-A02;PrS-MOK20020P-B03;PrS-MOK20020P-C10	KOLF2.2 deleted OVOL1 by insertion of premature termination codon (PTC) derived primitive syncytium	3946
2024_06_JAX_RNAseq4_ExEm_brain	PITX1	""	day_6	23762	58	22	PITX1_day_6	PTC	JAX_PITX1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20036P-A01;PrS-MOK20036P-B03;PrS-MOK20036P-C03	KOLF2.2 deleted PITX1 by insertion of premature termination codon (PTC) derived primitive syncytium	22
2024_06_JAX_RNAseq4_ExEm_brain	ZBTB7C	""	day_6	23762	597	71	ZBTB7C_day_6	PTC	JAX_ZBTB7C_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20042P-A09;PrS-MOK20042P-A11;PrS-MOK20042P-B10	KOLF2.2 deleted ZBTB7C by insertion of premature termination codon (PTC) derived primitive syncytium	71
2024_09_JAX_RNAseq5_ExE_CBO	NR2F1	""	day_22	21657	4475	779	NR2F1_day_22	PTC	JAX_NR2F1_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20074P-A10;CBO-MOK20074P-B12;CBO-MOK20074P-C11	KOLF2.2 deleted NR2F1 by insertion of premature termination codon (PTC) derived cortical brain organoid	779
2024_09_JAX_RNAseq5_ExE_CBO	SIX3	""	day_8	21639	1663	293	SIX3_day_8	PTC	JAX_SIX3_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20077P-A07;CBO-MOK20077P-A08;CBO-MOK20077P-C07	KOLF2.2 deleted SIX3 by insertion of premature termination codon (PTC) derived cortical brain organoid	293
2024_09_JAX_RNAseq5_ExE_CBO	DLX4	""	day_6	22968	11	0	DLX4_day_6	PTC	JAX_DLX4_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20047P-A01;PrS-MOK20047P-A02;PrS-MOK20047P-B02	KOLF2.2 deleted DLX4 by insertion of premature termination codon (PTC) derived primitive syncytium	0
2024_09_JAX_RNAseq5_ExE_CBO	DLX5	""	day_6	22968	20	5	DLX5_day_6	PTC	JAX_DLX5_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20048P-A03;PrS-MOK20048P-D03;PrS-MOK20048P-F03	KOLF2.2 deleted DLX5 by insertion of premature termination codon (PTC) derived primitive syncytium	5
2024_09_JAX_RNAseq5_ExE_CBO	DLX6	""	day_6	22968	92	15	DLX6_day_6	PTC	JAX_DLX6_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20049P-D03;PrS-MOK20049P-F03;PrS-MOK20049P-G04	KOLF2.2 deleted DLX6 by insertion of premature termination codon (PTC) derived primitive syncytium	15
2024_09_JAX_RNAseq5_ExE_CBO	HEY1	""	day_6	23092	33	6	HEY1_day_6	PTC	JAX_HEY1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20043P-A03;PrS-MOK20043P-A06;PrS-MOK20043P-A08	KOLF2.2 deleted HEY1 by insertion of premature termination codon (PTC) derived primitive syncytium	6
2024_09_JAX_RNAseq5_ExE_CBO	HOPX	""	day_6	23092	2	2	HOPX_day_6	PTC	JAX_HOPX_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20050P-A06;PrS-MOK20050P-B06;PrS-MOK20050P-G05	KOLF2.2 deleted HOPX by insertion of premature termination codon (PTC) derived primitive syncytium	2
2024_09_JAX_RNAseq5_ExE_CBO	MAFF	""	day_6	23092	329	25	MAFF_day_6	PTC	JAX_MAFF_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20051P-C07;PrS-MOK20051P-D07;PrS-MOK20051P-H07	KOLF2.2 deleted MAFF by insertion of premature termination codon (PTC) derived primitive syncytium	25
2024_09_JAX_RNAseq5_ExE_CBO	MBNL2	""	day_6	22849	63	9	MBNL2_day_6	PTC	JAX_MBNL2_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20023P-B09;PrS-MOK20023P-C12;PrS-MOK20023P-F11	KOLF2.2 deleted MBNL2 by insertion of premature termination codon (PTC) derived primitive syncytium	9
2024_09_JAX_RNAseq5_ExE_CBO	MBNL3	""	day_6	22849	1933	442	MBNL3_day_6	PTC	JAX_MBNL3_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20060P-C06;PrS-MOK20060P-E06;PrS-MOK20060P-F05	KOLF2.2 deleted MBNL3 by insertion of premature termination codon (PTC) derived primitive syncytium	442
2024_09_JAX_RNAseq5_ExE_CBO	TWIST2	""	day_6	22849	0	0	TWIST2_day_6	PTC	JAX_TWIST2_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20052P-A09;PrS-MOK20052P-D09;PrS-MOK20052P-H09	KOLF2.2 deleted TWIST2 by insertion of premature termination codon (PTC) derived primitive syncytium	0
2024_09_JAX_RNAseq6_Diverse	PAX6	Diverse	day_9	20422	1096	513	PAX6_Diverse_day_9	PTC	JAX_PAX6_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOW20008-A03;CBO-MOW20008-B02;CBO-MOW20008-B04	WIBJ2 deleted PAX6 by insertion of premature termination codon (PTC) derived cortical brain organoid	734
2024_09_JAX_RNAseq6_Diverse	EPAS1	Diverse;hypoxia	day_6	19217	5651	2230	EPAS1_Diverse;hypoxia_day_6	PTC	JAX_EPAS1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOW20012-A03-hyp;PrS-MOW20012-B02-hyp;PrS-MOW20012-B03-hyp	WIBJ2 deleted EPAS1 by insertion of premature termination codon (PTC) derived primitive syncytium in hypoxia	2230
2024_09_JAX_RNAseq6_Diverse	EPAS1	Diverse	day_6	19031	213	19	EPAS1_Diverse_day_6	PTC	JAX_EPAS1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOW20012-A03-nor;PrS-MOW20012-B02-nor;PrS-MOW20012-B03-nor	WIBJ2 deleted EPAS1 by insertion of premature termination codon (PTC) derived primitive syncytium in normoxia	2230
2024_09_JAX_RNAseq6_Diverse	GCM1	Diverse	day_6	18424	9786	5964	GCM1_Diverse_day_6	PTC	JAX_GCM1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOW20013-A04;PrS-MOW20013-B08;PrS-MOW20013-D06	WIBJ2 deleted GCM1 by insertion of premature termination codon (PTC) derived primitive syncytium	5964
2024_09_JAX_RNAseq6_Diverse	GRHL1	Diverse	day_6	19355	4763	1210	GRHL1_Diverse_day_6	PTC	JAX_GRHL1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOW20022-A07;PrS-MOW20022-B10;PrS-MOW20022-B12	WIBJ2 deleted GRHL1 by insertion of premature termination codon (PTC) derived primitive syncytium	4130
2024_09_JAX_RNAseq6_Diverse	PPARG	Diverse	day_6	18983	6710	2668	PPARG_Diverse_day_6	PTC	JAX_PPARG_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOW20026-A10;PrS-MOW20026-B10;PrS-MOW20026-D08	WIBJ2 deleted PPARG by insertion of premature termination codon (PTC) derived primitive syncytium	3257
2024_09_JAX_RNAseq7_Reversion	PAX6	""	day_9	22301	2336	734	PAX6_day_9	PTC	JAX_PAX6_Termination_codon	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20008P-A09;CBO-MOK20008P-A11;CBO-MOK20008P-D09	KOLF2.2 deleted PAX6 by insertion of premature termination codon (PTC) derived cortical brain organoid	734
2024_09_JAX_RNAseq7_Reversion	PAX6	Reversion	day_9	22301	637	136	PAX6_Reversion_day_9	reverted	JAX_PAX6_Termination_codon_Reversion	CBO	Cortical brain (dorsal forebrain patterning)	CBO-MOK20008R-A04;CBO-MOK20008R-C03;CBO-MOK20008R-E03	KOLF2.2J reverted PAX6 deletion by removal of PTC derived cortical brain organoid	734
